   944172962Cristiano           Checci              Elmira              14905.00000000000000United States                607TRUE                
   999878018Kelcy               Lissaman            Erie                16534.00000000000000United States                814TRUE                
   710175337Levi                Waything            Washington          20088.00000000000000United States                202TRUE                
   472968572Oriana              Lambswood           Toledo              43656.00000000000000United States                419TRUE                
  1799613038Chaddy              Caldecott           Pompano Beach       33064.00000000000000United States                561TRUE                
  1320461719Roxie               Oneal               Asheville           28815.00000000000000United States                828TRUE                
   342715275Lianne              Ziemsen             Roanoke             24009.00000000000000United States                540TRUE                
  1757856765L;urette            Luppitt             Durham              27710.00000000000000United States                919TRUE                
    43401597Harper              Hannen              Fort Lauderdale     33345.00000000000000United States                754TRUE                
   516980866Morty               Gutowska            Dallas              75260.00000000000000United States                214TRUE                
   414254090Bertram             Murphy              Las Vegas           89105.00000000000000United States                702TRUE                
   111062756Clo                 Tomasian            Washington          20409.00000000000000United States                202TRUE                
   110048229Javier              Causier             Huntington          25705.00000000000000United States                304TRUE                
  1173064532Lydon               Swanborough         Sacramento          94297.00000000000000United States                916TRUE                
   813676010Georgianne          Bignold             Toledo              43656.00000000000000United States                419TRUE                
   413557103Loreen              Clouter             San Diego           92191.00000000000000United States                619TRUE                
   634879553Mort                Jouanny             Lexington           40510.00000000000000United States                859TRUE                
   712555463Goober              Ceresa              Boston              2208.000000000000000United States                781TRUE                
  1382771940Valli               Tremethack          Muzayri‘          *                   United Arab Emirates         155TRUE                
   300234767Donnamarie          Moffet              Kansas City         64125.00000000000000United States                816TRUE                
  2031766694Lauren              Petrello            Fort Myers          33994.00000000000000United States                239TRUE                
   772805474Cassie              Olesen              Baltimore           21290.00000000000000United States                410TRUE                
   869321870Miguelita           Chatin              Hampton             23663.00000000000000United States                804TRUE                
  1658821629Sim                 Gundry              Oklahoma City       73142.00000000000000United States                405TRUE                
  1260392139Janka               Clendening          Harrisburg          17110.00000000000000United States                717TRUE                
  1083163744Sydney              O'dell              Detroit             48232.00000000000000United States                313TRUE                
   867015195Rinaldo             Graveson            Ocala               34479.00000000000000United States                352TRUE                
  1976735203Gan                 Colliber            Hollywood           33023.00000000000000United States                305TRUE                
  1928644368Georgine            Sanches             Saint Augustine     32092.00000000000000United States                904TRUE                
   900529040Delores             Abberley            Louisville          40266.00000000000000United States                502TRUE                
  1102958107Regan               McCloch             Fort Worth          76110.00000000000000United States                817TRUE                
   438058844Corri               Cardozo             Garland             75049.00000000000000United States                214TRUE                
    10119531Roger               Anderbrugge         Cincinnati          45264.00000000000000United States                513TRUE                
  1812397720Alvera              Akred               Wilkes Barre        18706.00000000000000United States                570TRUE                
  1511432268Tera                Reading             Chico               95973.00000000000000United States                916TRUE                
   215728068Legra               Woodwing            Vancouver           98664.00000000000000United States                360TRUE                
   855695803Otho                Hamly               Birmingham          35290.00000000000000United States                205TRUE                
   399825959Shae                Lowth               Amarillo            79105.00000000000000United States                806TRUE                
  1870180178Moe                 Maggill'Andreis     Tulsa               74108.00000000000000United States                918TRUE                
  1244046361Willy               Bernardt            Reno                89519.00000000000000United States                775TRUE                
  1930792700Aluino              Goggins             Cleveland           44105.00000000000000United States                216TRUE                
  1063203899Kathlin             Grafom              Atlanta             31165.00000000000000United States                404TRUE                
   427885620Keen                Wilshaw             Sacramento          95813.00000000000000United States                916TRUE                
  2133282270Ilse                Dubs                Nashville           37245.00000000000000United States                615TRUE                
   530601222Honor               Deeny               Oklahoma City       73167.00000000000000United States                405TRUE                
  2078531332Nial                Touhig              Dulles              20189.00000000000000United States                571TRUE                
   537201157Aretha              Boneham             Detroit             48242.00000000000000United States                248TRUE                
   440665132Alonso              Goring              Reston              22096.00000000000000United States                571TRUE                
  2069948943Normy               Liptrot             Alexandria          22313.00000000000000United States                571TRUE                
   260710121Marcella            Caberas             Saint Louis         63169.00000000000000United States                314TRUE                
  2009488180Kennedy             Alonso              New York City       10125.00000000000000United States                212TRUE                
   468589295Mimi                Padmore             Tulsa               74108.00000000000000United States                918TRUE                
  1649645546Warde               Werndly             Honolulu            96850.00000000000000United States                808TRUE                
   369339398Andee               Mahody              Allentown           18105.00000000000000United States                610TRUE                
  1196405883Yanaton             Lyles               Kansas City         64190.00000000000000United States                816TRUE                
   109270924Eustace             Searsby             Des Moines          50362.00000000000000United States                515TRUE                
  1450228429Shoshana            Steynor             Topeka              66617.00000000000000United States                785TRUE                
  1505607833Koressa             Beacon              Huntington          25775.00000000000000United States                304TRUE                
  2030974919Garrik              Mournian            Orlando             32819.00000000000000United States                321TRUE                
   877187061Caritta             Jupe                Phoenix             85062.00000000000000United States                602TRUE                
