  2045306119Buffy               Whiteland           Erie                16534.00000000000000United States                814FALSE               
  2105130488Van                 Wesson              Washington          20310.00000000000000United States                202FALSE               
   711470286Chauncey            Deeming             New Hyde Park       11044.00000000000000United States                516FALSE               
   238153835Cortney             Cuncarr             Flushing            11355.00000000000000United States                917FALSE               
  1981746358Raffaello           Sanger              Stamford            6905.000000000000000United States                203FALSE               
   908536070Nikolai             Dyka                Boston              2298.000000000000000United States                617FALSE               
  1984004085Lori                Kliment             New Orleans         70183.00000000000000United States                504FALSE               
   796293090Matteo              Cree                Bronx               10469.00000000000000United States                718FALSE               
  1515416119Eunice              Brogiotti           Fort Smith          72905.00000000000000United States                479FALSE               
    80471072Arri                Becke               Murfreesboro        37131.00000000000000United States                615FALSE               
  1391208943Cullan              Bruckmann           Charleston          25389.00000000000000United States                304FALSE               
   391340301Jethro              Morstatt            Los Angeles         90065.00000000000000United States                213FALSE               
    91876907Cristionna          MacKnocker          Dallas              75260.00000000000000United States                214FALSE               
  1164820028Federica            Popple              San Antonio         78215.00000000000000United States                210FALSE               
   290764327Garreth             Castellan           Arlington           22212.00000000000000United States                571FALSE               
    48778540Eddi                Laming              Danbury             6816.000000000000000United States                203FALSE               
   583468276Rutherford          Maker               Kingsport           37665.00000000000000United States                423FALSE               
   972720901Lenard              Longmuir            Lakeland            33805.00000000000000United States                863FALSE               
  1973064286Avril               Bumby               Los Angeles         90045.00000000000000United States                562FALSE               
   994739435Allyson             Fatscher            Columbus            43231.00000000000000United States                614FALSE               
   517502895Pris                Wolfart             Champaign           61825.00000000000000United States                217FALSE               
  1818438763Roanne              Formby              Columbus            43215.00000000000000United States                513FALSE               
    45185336Ned                 Howchin             Savannah            31416.00000000000000United States                912FALSE               
   562001417Erin                Tomowicz            Atlanta             30343.00000000000000United States                404FALSE               
  1808069161Chadd               Mor                 Chicago             60624.00000000000000United States                773FALSE               
  1162395850Nichole             Grindle             Honolulu            96825.00000000000000United States                808FALSE               
  1878462040Nydia               Russel              Saint Paul          55123.00000000000000United States                952FALSE               
  1216605262Clarissa            Clyburn             Punta Gorda         33982.00000000000000United States                941FALSE               
  1120952735Jermaine            Gonthard            Durham              27710.00000000000000United States                919FALSE               
  2108210962Allsun              Wesson              Wilmington          28410.00000000000000United States                910FALSE               
   288009746Averyl              Edscer              Charlotte           28299.00000000000000United States                704FALSE               
  1782718249Dotti               Aikin               Brooklyn            11254.00000000000000United States                212FALSE               
   325637202Melissa             Howkins             Houston             77075.00000000000000United States                832FALSE               
  2042994545Coleman             Wankling            Austin              78703.00000000000000United States                512FALSE               
  1707988137Elbert              Gomer               Durham              27705.00000000000000United States                919FALSE               
  1454837179Yolane              Rae                 Waco                76796.00000000000000United States                801FALSE               
  2013419848Consuelo            Ivanenkov           New Brunswick       8922.000000000000000United States                732FALSE               
   687101107Laural              Osinin              Mobile              36689.00000000000000United States                251FALSE               
   538362022Matty               Iwanowicz           Portland            97296.00000000000000United States                503FALSE               
  1298353823Karyl               Cohrs               Memphis             38188.00000000000000United States                901FALSE               
   501874488Zena                Rowatt              New Bedford         2745.000000000000000United States                508FALSE               
  1719853738Blythe              Delmonti            Portland            97211.00000000000000United States                503FALSE               
  1412531535Alicia              Le Noir             Corona              92878.00000000000000United States                951FALSE               
  1152830554Alard               Hugo                Sacramento          94297.00000000000000United States                916FALSE               
   421366559Shanna              Iacofo              Sacramento          95894.00000000000000United States                916FALSE               
   932388396Wilona              Beverstock          Washington          20238.00000000000000United States                202FALSE               
